City,januari_2008,februari_2008,maret_2008,april_2008,mei_2008,juni_2008,juli_2008,agustus_2008,september_2008,oktober_2008,november_2008,desember_2008,januari_2009,februari_2009,maret_2009,april_2009,mei_2009,juni_2009,juli_2009,agustus_2009,september_2009,oktober_2009,november_2009,desember_2009,januari_2010,februari_2010,maret_2010,april_2010,mei_2010,juni_2010,juli_2010,agustus_2010,september_2010,oktober_2010,november_2010,desember_2010,januari_2011,februari_2011,maret_2011,april_2011,mei_2011,juni_2011,juli_2011,agustus_2011,september_2011,oktober_2011,november_2011,desember_2011,januari_2012,februari_2012,maret_2012,april_2012,mei_2012,juni_2012,juli_2012,agustus_2012,september_2012,oktober_2012,november_2012,desember_2012,januari_2013,februari_2013,maret_2013,april_2013,mei_2013,juni_2013,juli_2013,agustus_2013,september_2013,oktober_2013,november_2013,desember_2013,januari_2014,februari_2014,maret_2014,april_2014,mei_2014,juni_2014,juli_2014,agustus_2014,september_2014,oktober_2014,november_2014,desember_2014,januari_2015,februari_2015,maret_2015,april_2015,mei_2015,juni_2015,juli_2015,agustus_2015,september_2015,oktober_2015,november_2015,desember_2015,januari_2016,februari_2016,maret_2016,april_2016,mei_2016,juni_2016,juli_2016,agustus_2016,september_2016,oktober_2016,november_2016,desember_2016,januari_2017,februari_2017,maret_2017,april_2017,mei_2017,juni_2017,juli_2017,agustus_2017,september_2017,oktober_2017,november_2017,desember_2017,januari_2018,februari_2018,maret_2018,april_2018,mei_2018,juni_2018,juli_2018,agustus_2018,september_2018,oktober_2018,november_2018,desember_2018,januari_2019,februari_2019,maret_2019,april_2019,mei_2019,juni_2019,juli_2019,agustus_2019,september_2019,oktober_2019,november_2019,desember_2019,januari_2020,februari_2020,maret_2020,april_2020,mei_2020,juni_2020,juli_2020,agustus_2020,september_2020,oktober_2020,november_2020,desember_2020,januari_2021,februari_2021,maret_2021,april_2021,mei_2021,juni_2021,juli_2021,agustus_2021,september_2021,oktober_2021,november_2021,desember_2021,januari_2022,februari_2022,maret_2022,april_2022,mei_2022,juni_2022,juli_2022,agustus_2022,september_2022,oktober_2022,november_2022,desember_2022,januari_2023,februari_2023,maret_2023,april_2023,mei_2023,juni_2023,juli_2023,agustus_2023,september_2023,oktober_2023,november_2023
KOTA CIREBON,151.86,153.12,154.52,154.64,157.07,112.42,114.25,114.51,116.96,117.49,117.25,117.18,116.93,118.13,118.25,118.1,118.15,118.3,118.39,119.88,121.25,121.39,121.4,122,123.03,123.11,122.44,122.53,122.8,123.97,125.42,127.09,128.33,128.51,129.53,130.18,130.34,130.11,129.77,129.14,129.48,129.86,130.83,132.21,132.57,132.78,133.45,134.34,135.17,134.84,134.43,134.37,134.51,135.11,137.55,138.27,138.24,138.36,138.53,138.86,139.69,140.5,142.89,142.06,141.74,143.73,148.38,150.49,149.64,149.46,149.53,149.78,110.11,110.52,110.98,111.27,111.29,111.66,112.25,113.27,113.71,113.92,115.06,117.11,116.96,116.45,116,116.46,117.25,117.61,118.69,118.62,118.3,118.42,118.62,118.94,119.53,119.22,119.28,119.11,119.43,120.1,120.39,120.27,120.61,120.73,121.09,121.16,122.18,122.7,122.55,123.04,123.83,124.79,125.96,125.61,125.44,125.53,125.73,126.44,127.72,128.48,128.11,128.01,128.21,129.09,129.36,128.94,128.59,128.75,129.23,129.98,130.24,130.03,130.27,130.62,131.1,131.3,131.62,131.94,131.62,131.66,132,132.58,102.25,102.42,102.72,102.74,102.65,103.11,102.99,102.75,102.49,102.5,102.84,103.34,103.42,103.49,103.56,103.9,104.25,104.07,104.09,104.18,104.12,104.2,104.64,105.21,105.79,105.95,106.63,107.4,107.85,108.37,108.76,108.73,109.95,109.84,109.94,110.32,111.61,112.01,112.2,112.61,112.78,113,113.25,113.12,113.32,113.36,113.54
KOTA BEKASI,103.02,104.7,104.77,106.07,107.2,108.53,110.69,111.42,112.68,112.49,113.64,112.71,112.26,112.92,112.72,112.12,112.42,112.43,112.92,113.52,114.41,114.67,114.69,114.88,116.14,116.89,116.33,116.41,116.72,118.75,121.32,122.05,122.14,122.03,122.68,123.93,124.98,125.21,125.1,123.91,124.01,124.64,125.34,125.96,126.21,126.53,127.2,128.21,129.16,128.98,129.18,129.36,129.31,129.97,131.05,132.43,132.51,132.12,131.96,132.65,134.62,135.52,136.18,136.12,136.78,138.81,144.44,146.94,145.17,144.95,144.77,145.2,110.36,110.84,111.19,110.3,110.15,110.67,111.83,112.4,112.54,112.95,115.2,117.49,117.29,117.22,116.79,116.91,117.38,117.89,118.84,119.82,119.37,118.99,119.02,120.1,120.54,120.5,120.68,119.94,120.05,121.13,121.44,121.54,121.86,121.77,122.74,123.07,124.05,124.26,124.55,124.65,124.99,126.11,125.93,125.8,126.13,126.22,126.24,126.77,127.96,128.72,129.57,129.1,129.81,130.03,131.15,130.95,130.86,131.07,131.35,132.13,133.02,133.25,133.26,133.72,135.12,135.59,136.45,136.95,136.87,136.76,137.27,137.79,105.48,105.88,106.29,106.56,106.48,106.99,106.98,106.97,106.94,106.95,107.25,108.03,108.24,108.49,108.38,108.52,108.79,108.43,108.64,108.91,108.78,108.83,109.18,109.77,110.2,110.54,110.96,112.03,112.35,112.9,113.6,113.74,115.31,115.09,115.14,115.67,116.15,116.6,116.75,117.4,117.49,117.75,118,117.91,118.01,118.18,118.66
KOTA DEPOK,104.59,105.65,106.13,106.44,107.24,109.87,111.37,112.17,113.7,114.25,114.44,113.91,113.65,112.89,112.92,112.67,112.68,112.69,113.34,113.98,115.43,115.49,115.23,115.39,116.12,116.54,116.26,116.61,117.23,118.85,120.56,121.53,121.85,122.16,123.48,124.59,125.65,126.24,125.27,124.14,124.27,125.05,126.14,127.15,127.23,127.04,127.77,128.26,128.92,129.05,128.84,129.1,129.61,130.69,131.9,133.5,133.09,132.9,133,133.53,135.25,136.23,137.66,137.59,137.41,139.87,146.27,147.81,146.97,147.15,147.3,148.18,111.53,112.13,112.09,111.65,111.83,112.31,113.42,113.81,113.85,114.42,116.49,118.97,118.13,117.49,117.8,117.56,118.32,118.75,119.88,120.47,120.15,119.91,120.19,121.2,122.03,121.51,121.94,121.5,121.89,122.89,123.48,123.18,123.64,123.65,124.13,124.35,125.42,126.13,126.19,126.47,127.11,128.34,128.83,128.55,128.56,128.31,128.46,129.24,130.12,130.5,130.68,130.48,130.65,131.55,131.59,132.14,131.95,132.38,132.64,132.93,133.19,133.13,133.45,134.11,135.3,136.8,136.87,137.36,137.01,136.88,137.06,137.31,105.18,105.44,105.82,105.84,105.66,105.77,105.6,105.52,105.54,105.69,106.03,106.41,106.56,106.77,106.82,107.17,107.87,107.56,107.53,107.59,107.52,107.68,107.98,108.34,108.87,109.18,110.11,111.62,111.91,112.5,113.3,113.29,114.7,114.4,114.53,114.9,115.52,115.95,116.14,116.41,116.54,116.62,116.87,116.84,116.95,117.13,117.44
KOTA TASIKMALAYA,167.4,168.99,169.34,170.19,172.31,109.69,111.52,112.3,113.68,115.04,114.68,115.07,115.56,115.68,115.97,117.09,117.12,117.23,117.37,117.76,118.51,118.98,119.58,119.87,121.09,121.83,121.47,121.5,121.57,122.47,123.55,124.34,124.68,124.65,125.56,126.53,127.42,127.69,127.51,127.37,127.29,127.83,129.15,129.36,129.9,130.3,131.13,131.8,133.33,133.79,133.39,133.05,132.95,134.12,135.3,136.84,136.49,136.73,136.6,136.9,138.48,139.87,140.21,139.61,139.59,140.78,144.78,146.07,146.01,146.34,146.17,146.33,109.2,109.97,110.24,110.27,110.59,111.07,112.02,112.76,112.59,112.96,114.18,116.97,116.62,116.39,116.74,117.08,117.33,118.18,118.79,119.23,119.13,119.83,120.32,121.1,122.23,121.85,122.01,121.62,122.15,123.07,123.69,123.29,123.44,123.49,123.83,124.43,125.3,125.69,125.73,126.42,127.21,127.89,127.93,128.23,128.54,128.44,128.61,129.26,130.55,130.83,130.96,130.83,131.38,132.15,132.33,131.84,131.49,131.56,131.9,132.23,132.77,132.63,132.67,132.95,133.88,134.26,134.52,134.58,134.07,133.97,134.06,134.5,102.13,102.46,102.78,102.91,102.94,103.09,103.22,102.94,102.91,103.05,103.33,103.6,103.86,103.88,103.82,104.21,104.32,104.27,104.35,104.37,104.12,104.15,104.33,104.81,105.28,105.79,106.89,108.34,109.16,109.61,110.24,110,111.05,110.99,111.19,111.78,112.24,112.7,112.78,113.49,113.8,113.85,114,113.95,114.34,114.35,114.65
CILACAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.9,113.54,113.36,113.26,113.63,114.85,116.38,116.99,117.07,117.29,119.07,121.18,120.87,120.73,120.74,120.76,121.33,121.85,123.06,123.35,123.42,123.13,123.38,124.37,125.32,125.18,125.32,124.84,125.03,125.79,127.13,126.9,126.96,127.01,127.69,127.81,129.85,130.74,130.59,130.6,131.37,132.67,132.09,131.79,132.12,132.15,132.66,133.45,135.22,135.73,135.58,135.43,135.32,136.35,136.47,136.3,136.12,136.68,137.11,137.73,138.18,137.83,138.27,138.63,138.89,139.93,140.12,140.58,139.93,139.83,140.05,140.75,102.47,102.97,103.03,103.08,103.38,103.67,103.49,103.4,103.37,103.49,103.89,104.25,104.53,104.66,104.69,104.74,105,104.74,104.8,104.86,104.73,104.97,105.35,106.21,106.91,106.99,108.26,110.08,110.73,111.52,111.91,111.29,112.53,112.54,112.77,113.44,113.95,114.26,114.48,114.8,115.05,115.11,115.13,115.18,115.65,115.79,116.28
PURWOKERTO,152.57,153.66,155.86,156.42,157.93,108.41,111.21,111.24,112.24,113.45,113.35,113.54,113.16,113.75,114.43,114.18,114.22,114.56,114.57,114.94,115.9,116.32,116.37,116.75,117.92,118.45,118.05,118.11,118.41,119.5,120.94,121.67,122.13,122.47,123.16,123.8,124.98,125.2,124.66,124.43,124.74,125.13,126.03,126.6,126.92,127.21,127.92,128.01,128.88,129.6,129.33,129.44,130,130.43,131.53,132.65,132.88,133.26,133.36,134.07,136.25,136.79,137.39,137.15,137.23,139.26,143.21,144.75,143.72,144.98,145.04,145.46,110.49,111.05,111.37,111.28,111.37,111.9,112.82,113.3,113.03,113.49,115.06,117.36,117.21,116.42,116.48,116.66,117.21,117.88,118.87,119.02,119,119.02,119.21,120.32,121,120.65,121.31,120.76,120.9,121.36,122.42,121.79,121.81,121.84,122.78,123.23,124.53,125.23,125.22,125.17,125.99,127.23,127.47,126.78,126.71,126.83,127.33,128.05,129.7,129.76,129.19,129.27,129.28,130.53,130.63,130.41,130.3,130.76,131.18,131.87,132.08,131.74,131.99,132.27,132.91,133.63,134.23,134.79,134.11,134,134.2,134.88,103.23,103.83,103.88,103.8,104,104.42,104.21,104.08,104.04,104.11,104.52,104.86,105.23,105.39,105.45,105.49,105.69,105.48,105.58,105.71,105.57,105.94,106.36,107.15,107.87,107.9,108.78,110.57,111.27,111.93,112.37,111.88,113.17,113.19,113.54,114.1,114.52,114.88,114.99,115.3,115.55,115.57,115.74,115.75,116.2,116.44,116.88
KUDUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.25,116.38,116.87,116.45,116.87,117.48,118.43,119.12,119.09,119.6,121.17,124.16,123.71,123.23,123.21,123.47,124.03,124.73,125.83,126.58,126.93,126.79,127.05,128.23,128.8,128.5,129.16,128.35,128.56,128.88,130.28,129.65,129.7,129.94,130.81,131.2,132.98,134.22,134.15,134.22,135.3,136.05,135.6,135.38,135.51,135.39,135.86,136.67,138.03,138.81,138.9,138.91,139.11,139.55,139.7,139.54,139.44,139.84,140.25,140.92,141.26,140.97,141.29,141.58,141.89,142.75,143.38,144.56,144.33,144.47,144.82,145.17,103.37,103.77,103.81,103.73,103.83,103.92,103.83,103.88,103.8,103.97,104.22,104.66,104.94,105.15,105.23,105.16,105.38,105.29,105.18,105.34,105.31,105.46,105.79,106.32,107.14,107.2,108.07,109.44,109.86,110.59,111.01,110.67,112.5,112.52,112.67,113.12,113.42,113.82,114.11,114.5,114.74,114.75,114.95,114.97,115.42,115.73,116.3
KOTA SURAKARTA,142.35,143.61,144.13,144.31,146.35,106.45,108.08,108.12,108.3,109.02,109.15,108.44,108.26,108.98,109.29,109.27,109.62,109.8,109.98,110.44,111.13,111.3,110.98,111.29,111.99,112.32,112.05,112.26,112.44,113.82,115.35,115.53,115.99,116.11,116.65,118.69,119.44,118.65,117.7,117.35,117,117.73,118.57,119.33,119.62,119.66,120.23,120.98,121.25,121.35,121.69,121.53,121.87,122.91,123.52,124.15,123.44,123.83,124.08,124.45,126.11,127.41,129.23,128.89,128.08,129.56,134.63,135.24,133.41,133.94,134.34,134.81,109.5,109.81,110.11,109.94,110.22,110.78,111.43,111.94,112.06,112.57,114.23,116.84,116.61,115.55,115.69,116.1,116.53,117.15,118.27,118.5,117.97,118.28,118.66,119.83,120.45,120.32,120.82,120.59,120.64,120.91,121.66,121.36,121.43,121.31,122.04,122.41,123.83,124.43,124.24,124.39,124.8,125.88,126.01,124.72,124.64,124.65,124.84,126.21,126.91,127.53,127.76,127.73,127.78,128.86,128.97,128.22,127.98,128.29,128.57,129.3,129.81,129.67,130.05,130.93,131.3,131.89,132.39,132.18,131.83,132.16,132.46,133.1,103.33,103.75,103.76,103.73,103.52,103.82,103.79,103.91,104,104.1,104.28,104.61,105.32,105.59,105.76,105.78,105.84,105.61,105.85,105.95,105.96,106.2,106.55,107.31,107.75,108.09,109.1,110.7,111.49,112.48,112.87,112.8,114.27,114.2,114.32,114.85,115.22,115.77,116.05,116.36,116.58,116.68,117.04,117.08,117.57,117.76,118.26
KOTA SEMARANG,158.84,161.13,163.5,164.26,166.21,109.37,110.69,111.36,112.46,113.06,113.13,112.66,112.56,112.71,113.47,113.28,113.38,113.54,114.06,114.43,115.77,116.25,115.94,116.25,117.12,117.67,117.43,117.86,117.88,118.87,120.93,121.57,122.83,122.86,123.64,124.51,125.26,125.11,124.97,124.29,124.45,124.99,125.83,126.55,127.19,126.95,127.6,128.08,128.62,129.09,129.51,129.69,130.16,131.05,132.14,133.8,133.67,133.76,133.74,134.29,135.62,136.84,138.14,137.54,137.3,138.48,143.32,145.11,144.22,144.39,144.99,145.29,110.39,110.66,110.96,110.92,111.2,112.15,112.85,113.31,113.77,114.4,115.95,118.73,118.16,117.37,117.66,117.86,118.5,119.26,120.34,120.68,120.46,120.27,120.52,121.77,122.25,121.88,122.35,121.74,121.89,122.42,123.7,123.44,123.6,123.67,124.34,124.59,125.97,126.53,126.35,126.63,127.38,127.85,128.24,127.63,128.07,127.88,128.26,129.13,130.17,130.65,130.71,130.74,130.62,131.45,131.6,131.45,131.57,131.94,132.22,132.7,132.99,132.5,132.95,133.58,134.06,134.87,135.39,136.02,135.78,135.7,135.97,136.59,104.41,104.86,104.88,104.86,104.96,105.13,105.03,104.97,105.04,105.25,105.39,105.91,106.06,106.23,106.32,106.37,106.55,106.4,106.45,106.39,106.24,106.5,106.85,107.49,107.82,107.73,108.44,109.37,109.95,110.97,111.63,111.14,112.4,112.2,112.35,112.85,113.19,113.43,113.66,113.97,114.22,114.24,114.5,114.52,115,115.19,115.79
KOTA TEGAL,160.36,161.29,162.12,162.29,164.23,109.31,111.23,111.47,111.89,112.44,112.64,112.39,112.49,113.58,113.57,113.74,114.32,114.76,115.29,115.82,118.38,118.23,118.32,118.94,119.77,119.99,119.68,119.79,119.86,121.45,122.47,123.11,124.67,124.74,125.58,126.95,127.36,127.19,127.45,126.79,126.91,127.35,128.68,129.4,129.83,129.5,130.15,130.23,131.03,130.76,130.52,130.71,131.41,132.12,132.52,134.28,134.36,134.22,133.73,134.26,135.3,135.61,135.76,135.71,135.26,136.33,139.58,142.35,142.14,141.86,141.65,142.05,107.62,108.47,108.69,108.29,108.3,108.95,109.81,110.44,110.64,111.69,112.86,114.73,114.62,114.22,114.42,114.3,115.15,116.17,117.25,117.69,117.53,117.87,118.15,119.26,120,119.75,120.13,119.37,119.76,120.55,122.38,121.83,121.91,122.18,122.6,122.49,123.69,124.08,123.94,124.18,125.1,126.23,126.42,126.04,126.19,126.46,126.81,127.43,128.9,128.97,128.62,128.61,128.92,130.17,130.25,129.96,129.95,130.4,130.74,131.35,131.76,131.18,131.44,132.05,132.45,133.53,134.25,134.22,133.77,133.95,134.22,134.71,104.17,104.57,104.55,104.82,104.72,105.16,105.11,105.2,105.14,105.37,105.67,106.26,106.08,106.34,106.31,106.39,106.66,106.28,106.36,106.19,106.21,106.69,107.18,107.89,108.65,108.86,109.83,110.82,111.96,112.67,113.34,112.61,113.84,113.76,114,114.7,115.2,115.91,115.88,116.26,116.63,116.68,116.77,116.84,117.32,117.62,118.2
KOTA YOGYAKARTA,165.08,166.75,167.68,168.04,169.86,109.21,110.64,111.38,112.66,113.36,113.44,113.32,113.42,113.78,113.99,113.6,113.91,114.12,114.49,115.37,116.29,116.26,116.36,116.64,117.3,117.66,117.81,118.1,118.26,119.75,121.43,121.95,123.24,123.58,124.35,125.25,126.3,126.42,126.68,126.32,126.48,126.81,127.95,128.76,129.01,129.06,129.49,130.11,130.44,130.57,131.04,131.18,131.24,132.23,133.24,133.8,134.05,134.56,134.83,135.72,137.02,138.29,139.38,138.96,138.56,139.72,143.33,144.58,144.24,145.12,145.41,145.65,110.77,110.85,111,111.08,111.14,111.62,112.57,112.67,113.22,113.54,114.82,116.84,116.99,116.52,116.69,117.13,117.55,117.96,118.7,119.09,119.14,119.15,119.31,120.45,121.09,120.98,121,120.81,120.91,121.43,122.57,122.52,122.33,122.39,122.78,123.21,124.74,125.19,125.11,125.46,125.87,126.64,127.18,126.61,126.78,126.98,127.24,128.39,129.1,129.04,129.23,129.36,129.46,130.05,130.78,130.44,130.29,130.46,131.06,131.81,132.37,132.26,132.6,133.21,133.77,134.1,134.17,134.27,134.18,134.42,134.84,135.46,104.91,105.33,105.4,105.15,105.38,105.46,105.38,105.34,105.37,105.45,105.59,106.1,106.67,106.82,106.91,106.92,106.99,107.04,107.16,107.21,107.03,107.29,107.77,108.53,109.17,109.22,110.06,111.32,112.16,112.74,113.27,113.13,114.32,114.45,114.82,115.57,115.77,116.08,116.78,117.04,117.45,117.47,117.8,117.75,118.09,118.39,118.81
JEMBER,158.51,158.99,159.44,160.2,162.42,112.02,113.99,114.28,115.12,115.44,114.75,114.35,114.23,114.95,115.52,114.52,114.99,115.71,115.63,115.8,116.95,117.56,117.72,118.53,118.88,118.93,118.51,118.92,119.31,120.87,122.8,123.22,123.71,123.96,124.66,126.93,128.74,128.37,127.94,126.95,126.15,126.96,127.24,128.12,128.73,128.56,129.32,130.02,130.39,130.74,131.12,131.56,131.15,132.21,133.06,134.43,134.39,134.77,134.81,135.86,137.45,138.75,139.66,139.19,138.25,139.33,143.63,145.18,144.83,144.66,144.33,145.66,110.65,110.7,110.73,110.74,111.22,111.35,111.81,111.74,112.2,112.34,114.5,117.52,117.24,116.61,116.79,116.99,117.45,117.69,118.8,119.17,119.52,119.46,119.77,120.24,120.76,120.91,120.99,120.43,120.61,120.95,121.46,121.1,121.37,121.05,121.43,122.56,124.35,124.62,124.43,124.78,125.23,125.78,125.87,125.76,125.83,125.62,126.05,126.88,127.59,127.82,127.72,128.23,128.55,129.5,129.39,129.38,129.32,129.63,129.98,130.62,130.82,130.61,130.53,131.12,131.96,131.75,132.07,132.5,132.12,132.19,132.56,133.28,103.74,104.27,104.62,104.48,104.45,104.76,104.77,104.65,104.64,104.65,105.11,105.49,105.75,105.88,106.36,106.45,106.57,106.46,106.41,106.45,106.35,106.39,106.72,107.69,108.18,108.25,109.41,110.98,111.56,112.35,113.1,112.57,114.11,114.08,115,115.65,115.84,116.05,116.5,116.75,117.03,117.19,117.32,117.36,117.59,117.71,118.04
BANYUWANGI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.04,112.17,112.39,112.11,112.17,112.59,112.86,112.72,112.84,113.42,114.8,117.67,117.77,116.57,116.68,117.1,117.74,118.05,118.78,119.2,119.45,119.15,119.25,120.2,121.01,121.15,121.19,120.45,120.59,121.47,121.99,121.82,121.84,121.62,121.93,122.5,123.31,123.74,123.49,124.08,124.49,125.07,125.26,125.12,125.1,125.21,125.62,126.38,127.26,127.47,127.62,127.67,127.83,128.47,128.51,128.45,127.82,127.93,128.26,128.96,129.46,129.36,129.58,129.78,130.38,130.85,131.36,131.46,131.4,131.28,131.57,131.95,102.78,102.88,103.16,103.41,103.43,103.49,103.5,103.49,103.31,103.38,103.59,104.04,104.23,104.32,104.64,104.66,104.94,104.63,104.87,104.79,104.62,104.64,104.93,105.69,106.11,105.95,106.93,108.06,108.59,109.25,109.99,109.38,110.33,110.45,111.28,112.09,112.39,112.72,113.04,113.24,113.49,113.59,113.64,113.69,113.75,113.8,114.28
SUMENEP,103.11,103.33,102.96,103.39,105.27,106.98,107.75,108.41,110.01,111.06,110.88,111.16,110.99,111.41,111.44,110.77,111.23,111.6,112.05,112.87,113.72,113.11,113.71,114.2,114.93,115.01,114.79,114.9,115.63,116.44,118.92,119.58,120.74,119.9,120.63,121.91,123.03,122.05,122.04,121.45,121.95,123.1,123.85,125.07,125.05,125.02,125.52,127.01,127.64,128.09,128.25,128.16,128.84,129.81,131.13,133.37,132.62,132.65,132.82,133.43,135.48,136.83,137.77,136.47,135.84,137.03,142.29,143.66,141.59,142.36,141.82,142.26,109.42,110.25,110.34,109.69,109.78,110.55,111.53,111.88,112.16,112.89,114.33,117.3,116.98,116.32,116.72,116.78,117.28,117.73,118.74,118.76,118.91,119.09,119.45,120.37,121.15,121.13,120.8,120.33,120.7,121.49,122.26,121.73,121.78,121.72,122.36,123.01,123.83,124.63,124.44,124.62,125.44,125.94,126.16,125.85,125.89,125.93,126.65,127.19,128.01,128.11,128.12,128.09,128.48,129.56,129.64,129.39,129.41,129.8,130.11,130.78,131.2,130.71,130.62,131.1,132.01,132.14,132.04,132.17,132,132.4,132.94,133.45,103.86,104.03,104.12,104.28,104.3,104.14,104.01,104.04,103.92,103.85,104.7,105.44,105.5,105.52,105.65,106.21,106.65,106.03,106.48,106.31,106.19,106.21,106.9,108.15,108.41,108.24,109.42,110.46,111.67,112.17,113.34,112.06,113.13,112.96,113.7,114.98,115.71,115.69,116.46,116.98,117.75,117.25,117.16,117.35,118.19,118.94,119.97
KOTA KEDIRI,154.66,155.13,156.61,158.01,160.31,109.21,111.13,112.03,112.6,113.27,112.86,112.21,112.34,112.69,113.22,112.67,112.73,113.24,113.73,114.18,115.55,115.67,115.52,116.25,117.15,117.82,116.98,117.28,117.77,119.26,120.65,121.08,121.92,121.96,122.76,124.15,124.51,124.38,123.96,123.58,123.61,124.61,125.74,126.66,127.34,127.36,127.79,128.65,129,129.28,129.33,129.4,129.97,130.89,131.78,134.06,134.03,134.05,134.12,134.61,136.03,137.31,138,137.88,137.6,138.82,143.35,144.87,144.47,144.32,144.92,145.44,112.09,112.15,112.17,111.91,111.93,112.51,113.33,113.4,113.79,114.15,116.04,118.96,118.73,117.75,118.08,118.45,118.7,119.01,119.63,119.65,119.96,119.91,120.04,120.99,121.56,121.16,121.27,120.73,120.87,121.06,122.01,121.32,121.58,121.48,122.12,122.56,123.71,124.57,124.41,124.88,125.51,126.06,125.92,125.7,126.09,125.94,126.23,126.77,126.95,127.28,127.41,127.59,127.37,127.92,128.04,127.91,128.17,128.38,128.89,129.27,129.46,129.35,129.56,130.03,130.1,130.2,130.77,130.47,130.12,130.53,131.02,131.63,103.91,104.3,104.41,104.49,104.29,104.55,104.49,104.51,104.67,104.62,105.08,105.37,105.54,105.61,105.77,106.1,106.24,106.13,106.05,105.96,105.86,106.05,106.31,107.1,107.56,107.77,108.23,109.47,109.56,110.41,111.02,111.01,112.52,112.28,112.61,113.27,113.57,113.75,114.03,114.18,114.55,114.74,114.92,114.96,115.39,115.62,116.06
KOTA MALANG,153.84,154.46,156.69,159.1,159.62,109.53,111.22,111.72,112.74,113.37,113.25,113.17,113.49,113.93,114.62,114.38,114.43,114.8,115.16,115.66,116.38,116.62,116.45,117.01,117.94,118.38,118.18,118.34,118.75,119.63,121.68,122.64,122.7,122.93,123.76,124.85,125.69,125.87,125.76,125.23,125.36,126.06,126.98,128.17,128.45,128.61,129.05,129.91,130.26,130.49,130.5,130.85,130.92,131.63,132.26,133.64,134.34,134.63,134.94,135.88,137.16,138.37,139.65,139.35,138.86,140.13,145.02,146.13,145.3,145.53,145.86,146.64,111.03,111.37,111.85,111.7,112.11,112.46,113.01,113.54,113.83,114.28,116.01,119.16,119.21,118.53,118.93,119.51,120.05,120.51,121.2,121.54,121.79,121.83,122.03,123.12,123.84,123.66,123.69,123.2,123.39,124.17,125.14,125.1,125.31,125.06,125.62,126.35,128.18,128.49,128.38,128.83,129.88,130.36,130.75,130.01,130.07,130.1,130.45,131.09,132,132.22,132.38,132.57,132.96,133.29,133.57,133.64,133.22,133.62,134.12,134.99,135.71,135.14,135.63,136.23,136.7,136.47,136.74,137,136.96,136.9,136.92,137.6,102.99,103.28,102.86,102.74,103.02,103.47,103.53,103.47,103.42,103.36,103.68,104.03,104.09,104.08,104.16,104.26,104.41,104.49,104.6,104.63,104.61,104.81,105.08,105.85,106.4,106.59,107.26,108.8,109.36,110.03,110.87,110.84,112.02,111.9,112.03,112.68,112.85,112.95,113.42,113.69,113.97,114.05,114.27,114.35,114.56,114.86,115.32
KOTA PROBOLINGGO,105.2,105.79,107.32,108.87,109.53,111.51,114.95,115.44,115.8,116.45,115.78,115.8,115.99,116.62,116.5,115.92,116.04,116.58,116.68,117.51,118.72,119.13,119.36,119.91,120.76,121.32,120.77,120.8,121.78,122.97,126.59,127.13,127.23,127.25,127.33,127.92,129.13,129.54,129.45,129.02,129.39,129.83,131.03,131.98,131.94,131.65,132.22,132.75,133.44,134.05,133.58,133.98,134.7,135.89,137.01,139.77,139.28,139.55,139.88,140.56,142,143.22,144.54,143.36,143.26,144.59,149.11,151.21,150.45,150.23,150.41,151.77,112.23,112.25,112.43,112.27,112.41,112.94,114.06,114.14,114.19,114.72,116.22,118.72,118.48,117.98,118,118.43,118.98,119.5,120.34,120.36,120.64,120.67,120.73,121.23,121.74,121.64,121.54,121.34,121.52,121.95,122.72,122.48,122.31,122.05,122.62,123.08,124.5,124.66,124.3,124.85,125.31,126.19,126.1,125.86,126,125.79,126.13,127,127.37,127.76,127.59,127.86,127.98,128.92,129,128.55,128.14,128.39,128.84,129.77,129.92,129.74,129.59,129.84,130.67,131.3,131.23,131.59,131.41,131.57,131.98,132.35,103.02,103.42,103.46,103.51,103.56,103.72,103.89,103.82,103.46,103.62,104.05,104.54,104.83,104.88,105.07,105.16,105.27,105.09,105.26,105.32,105.17,105.31,105.56,106.38,106.86,106.67,107.44,108.6,109.11,109.92,110.49,109.77,110.85,111.03,111.44,112.18,112.43,112.39,112.86,113.37,113.66,113.87,113.97,114.06,114.38,114.63,115.14
